おめ,1288,1288,7806,名詞,固有名詞,一般,*,*,*,おめ,オメ,オメ
オメ,1288,1288,7806,名詞,固有名詞,一般,*,*,*,オメ,アケオメ,アケオメ
オメシャス,1288,1288,7806,名詞,固有名詞,一般,*,*,*,オメシャス,オメシャス,オメシャス
センセンシャル,1288,1288,7806,名詞,固有名詞,一般,*,*,*,センセンシャル,センセンシャル,センセンシャル
オナシャスセンセンシャル,1288,1288,7806,名詞,固有名詞,一般,*,*,*,オナシャスセンセンシャル,オナシャスセンセンシャル,オナシャスセンセンシャル
アッー,1288,1288,7806,名詞,固有名詞,一般,*,*,*,アッー,アッー,アッー
ンアッー,1288,1288,7806,名詞,固有名詞,一般,*,*,*,ンアッー,ンアッー,ンアッー
やべえよ,1288,1288,7806,名詞,固有名詞,一般,*,*,*,やべえよ,ヤベエヨ,ヤベエヨ
いいゾ～これ,1288,1288,7806,名詞,固有名詞,一般,*,*,*,いいゾ～これ,イイゾーコレ,イイゾーコレ
やりますねぇ,1288,1288,7806,名詞,固有名詞,一般,*,*,*,やりますねぇ,ヤリマスネェ,ヤリマスネェ
たまげたなぁ,1288,1288,7806,名詞,固有名詞,一般,*,*,*,たまげたなぁ,タマゲタナァ,タマゲタナァ
イキスギィ,1288,1288,7806,名詞,固有名詞,一般,*,*,*,イキスギィ,イキスギィ,イキスギィ
ｲｷｽｷﾞｨ,1288,1288,7806,名詞,固有名詞,一般,*,*,*,ｲｷｽｷﾞｨ,イキスギィ,イキスギィ
真夏の夜の淫夢,1288,1288,7806,名詞,固有名詞,一般,*,*,*,まなつのよのいんむ,マナツノヨノインム,マナツノヨノインム
リオンディーズ,1288,1288,59,名詞,固有名詞,一般,*,*,*,リオンディーズ,リオンディーズ,リオンディーズ
KBTIT,1288,1288,6107,名詞,固有名詞,一般,*,*,*,KBTIT,クボタイト,クボタイト
kbtit,1288,1288,6107,名詞,固有名詞,一般,*,*,*,kbtit,クボタイト,クボタイト
t.co,1288,1288,6107,名詞,固有名詞,一般,*,*,*,t.co,ティードットシーオー,ティードットシーオー
